02-10-2021 01:39:37 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:39:37 Se graban todos los datos correctamente
02-10-2021 01:40:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:40:07 Se graban todos los datos correctamente
02-10-2021 01:40:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:40:37 Se graban todos los datos correctamente
02-10-2021 01:41:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:41:07 Se graban todos los datos correctamente
02-10-2021 01:41:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:41:37 Se graban todos los datos correctamente
02-10-2021 01:42:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:42:07 Se graban todos los datos correctamente
02-10-2021 01:42:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:42:37 Se graban todos los datos correctamente
02-10-2021 01:43:07 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:43:07 Se graban todos los datos correctamente
02-10-2021 01:43:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:43:37 Se graban todos los datos correctamente
02-10-2021 01:44:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:44:07 Se graban todos los datos correctamente
02-10-2021 01:44:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:44:37 Se graban todos los datos correctamente
02-10-2021 01:45:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:45:07 Se graban todos los datos correctamente
02-10-2021 01:45:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:45:37 Se graban todos los datos correctamente
02-10-2021 01:46:07 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:46:07 Se graban todos los datos correctamente
02-10-2021 01:46:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:46:37 Se graban todos los datos correctamente
02-10-2021 01:47:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:47:07 Se graban todos los datos correctamente
02-10-2021 01:47:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:47:37 Se graban todos los datos correctamente
02-10-2021 01:48:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:48:07 Se graban todos los datos correctamente
02-10-2021 01:48:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:48:37 Se graban todos los datos correctamente
